"Age","Religion","Population","Percentage"
0,"Buddhist",1025,0.1770339473
1,"Buddhist",1175,0.1939135888
2,"Buddhist",1310,0.2116196984
3,"Buddhist",1370,0.2187240565
4,"Buddhist",1490,0.2304236548
5,"Buddhist",1565,0.2375927978
6,"Buddhist",1640,0.2520905066
7,"Buddhist",1770,0.2686438041
8,"Buddhist",1915,0.2791036619
9,"Buddhist",1865,0.2685520509
10,"Buddhist",1855,0.2670947863
11,"Buddhist",1865,0.2711879194
12,"Buddhist",1875,0.2736187724
13,"Buddhist",1900,0.2783393396
14,"Buddhist",1890,0.2849754604
15,"Buddhist",1705,0.264706339
16,"Buddhist",1825,0.2810005158
17,"Buddhist",1885,0.2935931282
18,"Buddhist",2115,0.3340968328
19,"Buddhist",2365,0.3637258445
20,"Buddhist",2830,0.435857353
21,"Buddhist",2900,0.4339141299
22,"Buddhist",2955,0.4298056784
23,"Buddhist",3120,0.4468057684
24,"Buddhist",3260,0.4585123665
25,"Buddhist",3080,0.4326419958
26,"Buddhist",3135,0.4309870773
27,"Buddhist",3305,0.4448841686
28,"Buddhist",3590,0.4746605318
29,"Buddhist",3570,0.4596102968
30,"Buddhist",3745,0.4693423567
31,"Buddhist",3920,0.4969668541
32,"Buddhist",4035,0.5103492762
33,"Buddhist",4305,0.5387647832
34,"Buddhist",4365,0.5623767989
35,"Buddhist",4525,0.582780604
36,"Buddhist",4810,0.6268857074
37,"Buddhist",4885,0.6482820857
38,"Buddhist",5220,0.6970548764
39,"Buddhist",5520,0.7367121551
40,"Buddhist",5490,0.7165277769
41,"Buddhist",5560,0.7372049854
42,"Buddhist",5575,0.7804242988
43,"Buddhist",5455,0.8110921121
44,"Buddhist",5710,0.8483011692
45,"Buddhist",5450,0.7981839484
46,"Buddhist",5580,0.7974732389
47,"Buddhist",5490,0.7727007227
48,"Buddhist",5650,0.7634774031
49,"Buddhist",5580,0.7250613963
50,"Buddhist",5510,0.7016516191
51,"Buddhist",5075,0.6601626016
52,"Buddhist",5265,0.6696002747
53,"Buddhist",4915,0.6289992321
54,"Buddhist",4635,0.589668399
55,"Buddhist",4625,0.5898369499
56,"Buddhist",4425,0.5644456633
57,"Buddhist",4135,0.5404275063
58,"Buddhist",4130,0.5516707074
59,"Buddhist",3860,0.5327628446
60,"Buddhist",3640,0.5189620758
61,"Buddhist",3260,0.4891736566
62,"Buddhist",2975,0.4559911101
63,"Buddhist",2905,0.4594229142
64,"Buddhist",2775,0.4598748809
65,"Buddhist",2695,0.4678575769
66,"Buddhist",2735,0.4878614366
67,"Buddhist",2575,0.4598378514
68,"Buddhist",2505,0.4633054672
69,"Buddhist",2430,0.458317616
70,"Buddhist",2260,0.4266727081
71,"Buddhist",2335,0.4328362359
72,"Buddhist",2135,0.3896483127
73,"Buddhist",2060,0.3473158889
74,"Buddhist",1800,0.306936771
75,"Buddhist",1270,0.2877404445
76,"Buddhist",1310,0.2840077614
77,"Buddhist",1125,0.267828447
78,"Buddhist",955,0.2462514343
79,"Buddhist",790,0.2406262374
80,"Buddhist",660,0.2153554997
81,"Buddhist",605,0.1954165926
82,"Buddhist",560,0.1913908303
83,"Buddhist",465,0.1719261272
84,"Buddhist",375,0.1518464529
85,"Buddhist",330,0.1495988032
86,"Buddhist",260,0.1325989392
87,"Buddhist",210,0.12292563
88,"Buddhist",170,0.111684131
89,"Buddhist",160,0.1205046131
90,"Buddhist",120,0.103977125
91,"Buddhist",90,0.0963133394
92,"Buddhist",85,0.1133862469
93,"Buddhist",50,0.0859254167
94,"Buddhist",50,0.109373291
95,"Buddhist",40,0.1174570548
96,"Buddhist",20,0.0793493354
97,"Buddhist",15,0.0837520938
98,"Buddhist",15,0.1177856302
99,"Buddhist",10,0.1102535832
100,"Buddhist",2,0.0152473889
0,"Christian",144055,24.8806100331
1,"Christian",164135,27.0876654454
2,"Christian",185310,29.9353025273
3,"Christian",198900,31.7549013347
4,"Christian",215020,33.2521437905
5,"Christian",231120,35.0878258361
6,"Christian",236740,36.3901869159
7,"Christian",246725,37.4469732039
8,"Christian",261550,38.1198761159
9,"Christian",266535,38.3799039548
10,"Christian",269740,38.8388936084
11,"Christian",267430,38.8867481442
12,"Christian",265370,38.7254472755
13,"Christian",260630,38.1808326741
14,"Christian",250560,37.7796038992
15,"Christian",240535,37.3437766841
16,"Christian",238365,36.7017468224
17,"Christian",230790,35.9460785459
18,"Christian",209575,33.1055998736
19,"Christian",197850,30.4283967611
20,"Christian",193655,29.825426039
21,"Christian",199275,29.8166338737
22,"Christian",207495,30.1802129393
23,"Christian",209295,29.9725042604
24,"Christian",212055,29.8251042553
25,"Christian",210575,29.5790870973
26,"Christian",214830,29.5339565576
27,"Christian",219615,29.5622501312
28,"Christian",227200,30.0397974429
29,"Christian",237770,30.611075707
30,"Christian",248690,31.1670896388
31,"Christian",253765,32.1716310528
32,"Christian",259950,32.8786355271
33,"Christian",269700,33.7525811902
34,"Christian",270145,34.8048752206
35,"Christian",275990,35.5451091506
36,"Christian",279510,36.4284457535
37,"Christian",279940,37.1504784149
38,"Christian",284280,37.9614483251
39,"Christian",288775,38.5405892363
40,"Christian",302565,39.4892945007
41,"Christian",302755,40.1425351366
42,"Christian",293200,41.0440187302
43,"Christian",280165,41.6571258642
44,"Christian",284295,42.2360386861
45,"Christian",294705,43.1612478032
46,"Christian",307065,43.8846093382
47,"Christian",315585,44.4176243323
48,"Christian",337235,45.5701419527
49,"Christian",358135,46.5358177731
50,"Christian",375200,47.7785276777
51,"Christian",377380,49.0900813008
52,"Christian",397245,50.5214361114
53,"Christian",406000,51.9580240594
54,"Christian",416585,52.9982761582
55,"Christian",425460,54.2598981017
56,"Christian",436140,55.6332952784
57,"Christian",435200,56.8788514445
58,"Christian",434815,58.0810408276
59,"Christian",429230,59.2429522791
60,"Christian",422165,60.1889078985
61,"Christian",407565,61.1564605435
62,"Christian",405140,62.0975591064
63,"Christian",397430,62.8531665388
64,"Christian",383325,63.5248788168
65,"Christian",368980,64.0556915438
66,"Christian",363040,64.75803143
67,"Christian",368160,65.7452051859
68,"Christian",359035,66.4043426796
69,"Christian",357430,67.414183327
70,"Christian",363135,68.5574309017
71,"Christian",375830,69.667170252
72,"Christian",388860,70.9689193875
73,"Christian",430055,72.5072497977
74,"Christian",432095,73.6810244867
75,"Christian",325980,73.8564016585
76,"Christian",345270,74.8544731222
77,"Christian",317460,75.5776166839
78,"Christian",295725,76.2541417944
79,"Christian",250840,76.4033992263
80,"Christian",233840,76.3011061442
81,"Christian",238245,76.9537621732
82,"Christian",226695,77.4774005024
83,"Christian",210830,77.9509363504
84,"Christian",192970,78.1381600259
85,"Christian",172950,78.403372773
86,"Christian",154085,78.5827213382
87,"Christian",134590,78.7836216232
88,"Christian",119475,78.4909503006
89,"Christian",104740,78.8853323291
90,"Christian",90640,78.5373884412
91,"Christian",73060,78.1850286265
92,"Christian",58735,78.3498966184
93,"Christian",45540,78.2608695652
94,"Christian",35685,78.0597178169
95,"Christian",26395,77.5069740126
96,"Christian",19410,77.0085300536
97,"Christian",13695,76.4656616415
98,"Christian",9665,75.8932076953
99,"Christian",6855,75.578831312
100,"Christian",9860,75.1696272013
0,"Hindu",10915,1.8851956441
