region,gender,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Sikh,Other religion,Not answered
England,Female,146270,14271870,511870,138650,1875545,9752370,259730,186110,1691295
England,Male,116165,11896030,508665,130635,1925640,10963295,260360,146300,1709255
Wales,Female,5515,747370,5835,970,31825,687010,1995,9405,96565
Wales,Male,4560,607400,6405,1075,35120,759390,2055,6520,98475
North East,Female,3820,732395,4780,2135,34015,501855,3545,5755,65315
North East,Male,3210,611550,6145,2255,38090,556265,3660,4195,68030
North West,Female,12715,2112395,24610,16810,276600,1119845,5830,15915,192535
North West,Male,10315,1783385,25140,16475,286505,1299780,6030,12185,200325
Yorkshire and The Humber,Female,8650,1341290,14090,4880,219280,1023000,12075,13260,155160
Yorkshire and The Humber,Male,7155,1120225,15155,4475,223250,1138185,11960,10360,158325
East Midlands,Female,8015,1203120,61000,2120,102515,919190,26915,14190,140805
East Midlands,Male,6505,1011035,59345,2195,108250,1031160,27035,10625,146035
West Midlands,Female,10200,1500330,44155,2150,283150,912300,86065,17455,167385
West Midlands,Male,8605,1270230,43960,2240,286815,1042700,86330,14350,172330
East of England,Female,15305,1612690,43200,21935,113335,1198445,12105,20540,190540
East of England,Male,11510,1342380,43430,20075,121405,1346065,12180,15840,194090
London,Female,43730,1955085,229340,75135,660060,1135265,72040,46325,314640
London,Male,33695,1622600,223695,70330,658695,1245140,72505,40435,301020
South East,Female,30290,2367235,77335,9645,149055,1755515,37450,30720,281575
South East,Male,24145,1946085,77410,9040,160010,1977575,36900,23375,284705
South West,Female,13550,1447330,13360,3840,37530,1186945,3705,21950,183340
South West,Male,11030,1188545,14385,3545,42620,1326420,3760,14935,184395
Isle of Anglesey,Female,85,19230,35,15,140,13320,10,175,2210
Isle of Anglesey,Male,70,16255,30,15,185,14750,20,100,2235
Gwynedd,Female,250,29800,125,25,505,24485,20,455,4205
Gwynedd,Male,175,24450,130,35,635,27455,25,315,4305
Wrexham,Female,215,36055,145,25,635,26590,40,260,4280
Wrexham,Male,190,30825,185,30,905,29890,40,255,4560
Ceredigion,Female,215,18225,80,45,230,14490,15,415,2795
Ceredigion,Male,160,15185,80,30,285,16260,20,265,2685
Swansea,Female,495,54410,485,60,3625,53385,165,660,7680
Swansea,Male,445,44085,525,100,4070,59300,180,515,8305
Cardiff,Female,925,77350,2625,335,16490,74555,785,1085,11315
Cardiff,Male,705,61535,2810,355,17160,81035,735,940,11575
Newport,Female,250,37220,385,45,5535,32625,215,435,4465
Newport,Male,230,31070,380,45,5745,35940,200,305,4515
Powys,Female,315,35525,125,45,220,25925,40,565,4705
Powys,Male,280,29610,180,35,245,30045,30,370,4905
